Number of Trials, Blocksize, MegaTrials/Second, Probability
      1024 ,        8 ,     8.4366 ,  27.25
      1024 ,       32 ,    12.2091 ,  27.25
      1024 ,       64 ,    11.4123 ,  24.90
      1024 ,      128 ,     9.0166 ,  28.12
      4096 ,        8 ,    40.9862 ,  25.83
      4096 ,       32 ,    36.8664 ,  27.10
      4096 ,       64 ,    49.4399 ,  26.17
      4096 ,      128 ,    38.9531 ,  27.34
     16384 ,        8 ,   150.6325 ,  26.94
     16384 ,       32 ,   163.2653 ,  26.54
     16384 ,       64 ,   197.4547 ,  26.62
     16384 ,      128 ,   203.5785 ,  27.19
     65536 ,        8 ,   412.2383 ,  26.83
     65536 ,       32 ,   576.0900 ,  26.71
     65536 ,       64 ,   680.8510 ,  26.86
     65536 ,      128 ,   620.2302 ,  26.56
    262144 ,        8 ,   603.5512 ,  26.71
    262144 ,       32 ,  1233.7350 ,  27.01
    262144 ,       64 ,  1506.1592 ,  26.99
    262144 ,      128 ,  1439.7188 ,  26.79
   1048576 ,        8 ,   768.3722 ,  26.89
   1048576 ,       32 ,  2118.4380 ,  26.89
   1048576 ,       64 ,  3117.4960 ,  26.80
   1048576 ,      128 ,  3040.2673 ,  26.89
   2097152 ,        8 ,   820.4307 ,  26.82
   2097152 ,       32 ,  2630.7001 ,  26.88
   2097152 ,       64 ,  3992.2027 ,  26.91
   2097152 ,      128 ,  4117.6177 ,  26.84
